timestamp,rtt_ms_mean,rtt_ms_min,rtt_ms_max,count
2026-05-11T15:37:11.465190,1562.161,1447.690,1675.710,7
2026-05-11T15:37:12.465190,1835.752,1736.790,1974.430,6
2026-05-11T15:37:13.465190,1814.934,1730.460,1965.620,5
2026-05-11T15:37:14.465190,1652.012,1532.830,1702.000,5
2026-05-11T15:37:15.465190,1553.251,1513.520,1613.810,7
2026-05-11T15:37:16.465190,1555.578,1531.510,1574.700,6
2026-05-11T15:37:17.465190,1526.927,1471.410,1582.270,7
2026-05-11T15:37:18.465190,1468.618,1432.600,1503.490,6
2026-05-11T15:37:19.465190,1332.504,1293.220,1393.800,7
2026-05-11T15:37:20.465190,1333.695,1261.440,1410.840,8
2026-05-11T15:37:21.465190,1521.636,1460.340,1584.550,7
2026-05-11T15:37:22.465190,1731.734,1611.340,2015.010,7
2026-05-11T15:37:23.465190,2054.466,1994.990,2101.340,5
2026-05-11T15:37:24.465190,2016.550,1961.580,2068.120,4
2026-05-11T15:37:25.465190,2386.335,1806.060,2855.810,6
2026-05-11T15:37:26.465190,3262.984,3102.550,3401.810,5
2026-05-11T15:37:27.465190,5347.075,2892.340,7801.810,2
2026-05-11T15:37:28.465190,6742.263,6570.200,6947.750,3
2026-05-11T15:37:29.465190,6031.312,5837.640,6178.010,4
2026-05-11T15:37:30.465190,5582.090,5525.740,5638.440,2
2026-05-11T15:37:34.465190,1553.290,1553.290,1553.290,1
2026-05-11T15:37:35.465190,1315.585,877.500,1748.740,8
2026-05-11T15:37:36.465190,1107.971,806.170,1486.920,7
2026-05-11T15:37:37.465190,885.772,683.850,1172.870,11
2026-05-11T15:37:38.465190,856.595,701.600,1041.530,11
2026-05-11T15:37:39.465190,870.929,751.650,975.690,12
2026-05-11T15:37:40.465190,876.264,796.190,967.720,10
2026-05-11T15:37:41.465190,883.172,816.600,941.400,12
2026-05-11T15:37:42.465190,898.334,786.480,970.870,11
2026-05-11T15:37:43.465190,928.932,724.930,1173.540,11
2026-05-11T15:37:44.465190,963.913,671.380,1238.560,11
2026-05-11T15:37:45.465190,895.265,827.440,1033.670,10
2026-05-11T15:37:46.465190,987.831,694.860,1365.040,11
2026-05-11T15:37:47.465190,1161.804,855.350,1518.810,9
2026-05-11T15:37:48.465190,1143.371,826.360,1435.550,8
2026-05-11T15:37:49.465190,942.813,757.520,1174.310,10
2026-05-11T15:37:50.465190,869.301,681.380,1023.330,11
2026-05-11T15:37:51.465190,815.860,638.280,1005.310,13
2026-05-11T15:37:52.465190,862.803,704.260,1061.500,11
2026-05-11T15:37:53.465190,872.530,793.050,963.930,12
2026-05-11T15:37:54.465190,916.637,585.870,1244.890,11
2026-05-11T15:37:55.465190,877.265,491.070,1239.890,11
2026-05-11T15:37:56.465190,908.525,621.550,1131.300,11
2026-05-11T15:37:57.465190,958.463,751.030,1216.810,10
2026-05-11T15:37:58.465190,901.142,758.820,1080.730,11
2026-05-11T15:37:59.465190,1158.344,859.190,1428.710,10
2026-05-11T15:38:00.465190,1105.860,907.880,1366.800,9
2026-05-11T15:38:01.465190,940.031,727.270,1166.860,10
2026-05-11T15:38:02.465190,912.554,691.060,1194.670,11
2026-05-11T15:38:03.465190,927.357,697.530,1202.570,10
2026-05-11T15:38:04.465190,945.272,696.540,1286.220,12
2026-05-11T15:38:05.465190,991.429,543.580,1295.660,9
2026-05-11T15:38:06.465190,902.508,537.390,1295.600,12
2026-05-11T15:38:07.465190,910.980,436.520,1313.170,11
2026-05-11T15:38:08.465190,881.700,461.850,1346.610,11
2026-05-11T15:38:09.465190,978.352,558.460,1425.750,10
